"id","startSeconds","endSeconds","text","status","visualAid_choice","p_visual_NONE","p_visual_TEXT","p_visual_IMAGE","p_visual_DIAGRAM","p_visual_COMPARISON","confidence_visualAid","sectionChange_choice","p_sectionChange_YES","p_sectionChange_NO","confidence_sectionChange","attentionReset_choice","p_attentionReset_YES","p_attentionReset_NO","confidence_attentionReset","elapsedMs","inputTokens","outputTokens","cost_usd","marketCost_usd","gatewayCost_usd","surchargeCost_usd","existingSlides","nearbySE"
"ep004-c001","0","0.74","今日の朝。","ok","NONE","0.99","0","0.01","0","0","0.99","NO","0.01","0.99","0.99","NO","0.16","0.84","0.68","635","1230","121","0","0.00005166","0","0","",""
"ep004-c017","45.06","48.9","でも半導体工場って、どうしてそこまで取り合いになるんだろう。","ok","NONE","0.46","0.11","0.1","0.25","0.08","0.32","YES","0.82","0.18","0.63","YES","0.9","0.1","0.81","489","1344","121","0","0.000056448","0","0","farm-to-fab",""
"ep004-c034","109.69333333333333","114.55333333333333","わざわざ全員が自分の国へ工場を欲しがる必要はないようにも見えますよね。","ok","NONE","0.52","0.05","0.02","0.33","0.08","0.4","NO","0.17","0.83","0.66","YES","0.79","0.21","0.58","540","1384","121","0","0.000058128","0","0","world-team",""
"ep004-c050","166.08","167.66","学習に使うデータもある。","ok","NONE","0.65","0.09","0.21","0.05","0","0.56","NO","0.01","0.99","0.98","NO","0.18","0.82","0.64","609","1316","121","0","0.000055272","0","0","compute-capacity",""
"ep004-c067","247.52666666666667","248.98666666666665","言うのは簡単ですよね。","ok","NONE","0.95","0","0.03","0.01","0.01","0.93","NO","0.02","0.98","0.96","YES","0.52","0.48","0.04","526","1378","121","0","0.000057876","0","0","fab-lead-time",""
"ep004-c083","312","315.98","では、各国は、いつからそこまで心配するようになったのか。","ok","NONE","0.86","0.03","0.02","0.08","0.01","0.83","YES","0.92","0.08","0.84","YES","0.93","0.07","0.86","617","1368","121","0","0.000057456","0","0","shortage-cascade",""
"ep004-c100","374.71333333333337","376.8133333333334","いろいろな場所へ入ろうとしています。","ok","NONE","0.48","0.03","0.38","0.1","0.01","0.35","NO","0.24","0.76","0.52","YES","0.63","0.37","0.26","452","1296","121","0","0.000054432","0","0","shortage-cascade",""
"ep004-c116","435.2256666666667","441.8666666666667","もし単純な国同士の勝負なら、「外国企業ではなく、 自国企業だけで作ろう」となりそうです。","ok","COMPARISON","0.2","0.03","0","0.09","0.68","0.61","YES","0.59","0.41","0.18","YES","0.85","0.15","0.71","501","1378","123","0","0.000057876","0","0","multiple-locations",""
"ep004-c133","523.4066666666666","526.2266666666667","信頼できる国や企業との関係を作る。","ok","NONE","0.47000000000000003","0.1","0.03","0.39","0.01","0.32","NO","0.11","0.89","0.78","YES","0.51","0.49","0.01","410","1356","121","0","0.000056952","0","0","multiple-routes",""
"ep004-c149","588","595.22","国が取り合っているのは、これからもAIを作り続けられる能力と、 そのための選択肢なんです。","ok","DIAGRAM","0.2","0.31","0.01","0.43","0.05","0.28","NO","0.06","0.94","0.88","YES","0.88","0.12","0.75","638","1379","123","0","0.000057918","0","0","capability",""
"ep004-c166","656.1733333333334","662.6333333333333","だから各国は、外国との協力を続けながら、 自分たちが使える製造ルートも増やそうとしている。","ok","DIAGRAM","0.13","0.09","0.02","0.73","0.03","0.66","NO","0.26","0.74","0.48","NO","0.42","0.58","0.16","499","1407","123","0","0.000059094","0","0","capability",""
"ep004-c182","733.5333333333334","735.2333333333333","それでは今回は、この辺で。","ok","NONE","1","0","0","0","0","1","NO","0.05","0.95","0.9","NO","0.23","0.77","0.55","526","1308","121","0","0.000054936","0","0","",""
